"student","gpa1","job1","gpa2","job2","gpa3","job3","gpa4","job4","gpa5","job5","gpa6","job6","sex","highgpa","admitted"
101,2.79999995231628,"2 hours",2.70000004768372,"2 hours",3.09999990463257,"2 hours",3.59999990463257,"2 hours",3.59999990463257,"2 hours",3.70000004768372,"1 hour","female",3.40000009536743,NA
102,3.09999990463257,"2 hours",2.90000009536743,"2 hours",2.70000004768372,"2 hours",2.59999990463257,"3 hours",2.90000009536743,"2 hours",2.70000004768372,"2 hours","male",3.5,"yes"
103,2.20000004768372,"2 hours",2.40000009536743,"2 hours",2.79999995231628,"3 hours",2.79999995231628,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"3 hours","female",2.29999995231628,"yes"
104,2.29999995231628,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.40000009536743,"2 hours",3.40000009536743,"2 hours","female",3.5,"yes"
105,3.40000009536743,"2 hours",3.90000009536743,"2 hours",3.90000009536743,"2 hours",3.5,"2 hours",3.90000009536743,"2 hours",3.90000009536743,"2 hours","female",3.59999990463257,NA
106,1.79999995231628,"2 hours",2.79999995231628,"2 hours",2.59999990463257,"2 hours",2.29999995231628,"2 hours",2.5,"2 hours",2.70000004768372,"2 hours","male",2.59999990463257,"no"
107,2.40000009536743,"2 hours",2.5,"2 hours",2.29999995231628,"2 hours",2.29999995231628,"2 hours",2.59999990463257,"2 hours",2.70000004768372,"2 hours","male",3.20000004768372,"no"
108,2.70000004768372,"2 hours",2,"2 hours",2,"3 hours",2.59999990463257,"2 hours",2.5,"2 hours",2.70000004768372,"2 hours","male",2.29999995231628,"no"
109,2.70000004768372,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"2 hours",3.09999990463257,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"2 hours","male",3.20000004768372,"yes"
110,2.5,"2 hours",2.29999995231628,"2 hours",2.20000004768372,"2 hours",2.20000004768372,"3 hours",2.20000004768372,"2 hours",2.29999995231628,"2 hours","male",2.40000009536743,"no"
111,2.40000009536743,"2 hours",2.5,"2 hours",2.20000004768372,"2 hours",2.40000009536743,"2 hours",2.20000004768372,"3 hours",2.5,"2 hours","female",2.20000004768372,"no"
112,3,"2 hours",3.5,"2 hours",3.20000004768372,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.09999990463257,"2 hours","female",2.5,NA
113,2.70000004768372,"2 hours",2.40000009536743,"2 hours",3,"2 hours",2.5,"3 hours",2.59999990463257,"3 hours",2.79999995231628,"3 hours","male",3.70000004768372,"yes"
114,2.79999995231628,"2 hours",2.29999995231628,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.09999990463257,"2 hours","female",4,"yes"
115,2.20000004768372,"2 hours",2.09999990463257,"3 hours",3.09999990463257,"2 hours",3,"2 hours",3,"2 hours",3.20000004768372,"2 hours","female",3.59999990463257,"yes"
116,2.5,"2 hours",2.29999995231628,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"3 hours",2.90000009536743,"3 hours",3.09999990463257,"2 hours","female",2.20000004768372,"no"
117,2.79999995231628,"2 hours",2.09999990463257,"2 hours",3,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3.09999990463257,"2 hours","female",2.29999995231628,"no"
118,2.5,"2 hours",2.40000009536743,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"1 hour",3.59999990463257,"2 hours","female",2.20000004768372,NA
119,2.40000009536743,"3 hours",2.5,"2 hours",2.59999990463257,"2 hours",2.5,"2 hours",2.79999995231628,"3 hours",2.90000009536743,"3 hours","male",2.40000009536743,"no"
120,2.5,"2 hours",3.20000004768372,"2 hours",3.20000004768372,"2 hours",2.79999995231628,"2 hours",3,"2 hours",3.29999995231628,"2 hours","male",3.90000009536743,"yes"
121,2.90000009536743,"2 hours",2.70000004768372,"2 hours",2.59999990463257,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"2 hours","male",3.70000004768372,"yes"
122,3,"2 hours",3.29999995231628,"2 hours",2.90000009536743,"3 hours",3,"2 hours",3.09999990463257,"2 hours",3.59999990463257,"2 hours","female",2.5,NA
123,2.90000009536743,"2 hours",2.29999995231628,"2 hours",2.29999995231628,"3 hours",2.40000009536743,"2 hours",2.20000004768372,"2 hours",2.5,"2 hours","male",2.79999995231628,"yes"
124,2.5,"2 hours",3.09999990463257,"2 hours",2.5,"2 hours",3.29999995231628,"2 hours",3,"2 hours",3.40000009536743,"2 hours","female",3.59999990463257,"yes"
125,2.79999995231628,"2 hours",2.29999995231628,"3 hours",2.70000004768372,"3 hours",2.40000009536743,"2 hours",2.59999990463257,"3 hours",3,"2 hours","male",3.79999995231628,"no"
126,2.5,"2 hours",2.70000004768372,"2 hours",2.09999990463257,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3,"2 hours","female",3.09999990463257,"yes"
127,2.70000004768372,"3 hours",2.29999995231628,"3 hours",2.40000009536743,"2 hours",2.59999990463257,"2 hours",2.29999995231628,"3 hours",2.5,"3 hours","male",2.5,"no"
128,3,"2 hours",2.70000004768372,"3 hours",2.29999995231628,"2 hours",2.70000004768372,"3 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours","female",3.79999995231628,"yes"
129,2.70000004768372,"2 hours",2.79999995231628,"3 hours",2.70000004768372,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"2 hours",2.90000009536743,"3 hours","female",3.40000009536743,"yes"
130,2.40000009536743,"2 hours",2.90000009536743,"2 hours",3.59999990463257,"2 hours",3.09999990463257,"2 hours",3,"1 hour",3.09999990463257,"2 hours","male",2.90000009536743,NA
131,2.79999995231628,"2 hours",3.09999990463257,"2 hours",3.20000004768372,"2 hours",3.09999990463257,"2 hours",3.40000009536743,"2 hours",3.70000004768372,"2 hours","female",2.20000004768372,NA
132,2.20000004768372,"3 hours",2.70000004768372,"2 hours",3.40000009536743,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.70000004768372,"2 hours","male",2.70000004768372,"no"
133,2.5,"2 hours",2.79999995231628,"2 hours",2.29999995231628,"2 hours",2.09999990463257,"2 hours",2.29999995231628,"2 hours",2.5,"2 hours","male",2,"no"
134,2.5,"2 hours",3.09999990463257,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"3 hours",3.20000004768372,"2 hours","female",2.79999995231628,"yes"
135,3,"2 hours",2.70000004768372,"3 hours",3,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3,"2 hours","female",2.29999995231628,NA
136,2.79999995231628,"2 hours",2.5,"2 hours",2.79999995231628,"3 hours",2.40000009536743,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"3 hours","female",2,"yes"
137,2.79999995231628,"2 hours",2.09999990463257,"2 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours",3.09999990463257,"2 hours",3,"2 hours","male",2,"yes"
138,2.5,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours","female",3.29999995231628,"yes"
139,2.5,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"1 hour",3.40000009536743,"2 hours","female",3.90000009536743,NA
140,2.5,"2 hours",2.90000009536743,"2 hours",2.59999990463257,"2 hours",2.59999990463257,"2 hours",2.90000009536743,"2 hours",2.79999995231628,"3 hours","male",2.79999995231628,"no"
141,2.70000004768372,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",3.40000009536743,"2 hours",3.09999990463257,"2 hours","female",2.09999990463257,NA
142,2.79999995231628,"2 hours",2.90000009536743,"3 hours",3.09999990463257,"2 hours",3,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"3 hours","female",2.90000009536743,"yes"
143,2.90000009536743,"3 hours",2.70000004768372,"3 hours",2.40000009536743,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3,"1 hour","female",3.09999990463257,NA
144,2.5,"2 hours",3,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3,"2 hours",3.40000009536743,"2 hours","female",3.59999990463257,"yes"
145,2.40000009536743,"2 hours",2.5,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"3 hours",2.90000009536743,"3 hours",3.20000004768372,"2 hours","female",2.79999995231628,"no"
146,2.59999990463257,"3 hours",2.40000009536743,"2 hours",2.29999995231628,"2 hours",2.5,"2 hours",2.5,"2 hours",2.90000009536743,"3 hours","female",3.40000009536743,"no"
147,2.59999990463257,"2 hours",2.90000009536743,"2 hours",3.40000009536743,"2 hours",3.5,"2 hours",3.59999990463257,"2 hours",3.90000009536743,"1 hour","male",3.40000009536743,NA
148,2.5,"2 hours",3,"2 hours",2.5,"2 hours",2.59999990463257,"2 hours",2.79999995231628,"3 hours",2.79999995231628,"3 hours","male",3.09999990463257,"no"
149,2.70000004768372,"3 hours",2.70000004768372,"2 hours",2.40000009536743,"2 hours",2.90000009536743,"2 hours",3,"1 hour",3.09999990463257,"2 hours","female",2.40000009536743,"no"
150,2.70000004768372,"2 hours",2.79999995231628,"3 hours",2.40000009536743,"2 hours",2.40000009536743,"2 hours",2.59999990463257,"3 hours",2.70000004768372,"3 hours","male",2.70000004768372,"no"
151,2.40000009536743,"2 hours",2.5,"2 hours",2.5,"2 hours",2.90000009536743,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"2 hours","female",2.20000004768372,"no"
152,2.40000009536743,"2 hours",2.90000009536743,"2 hours",2.70000004768372,"3 hours",2.70000004768372,"3 hours",2.79999995231628,"2 hours",2.90000009536743,"2 hours","male",3.79999995231628,"yes"
153,2.5,"2 hours",3,"2 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours",3,"2 hours",3,"2 hours","female",2.5,"no"
154,2.59999990463257,"2 hours",2.70000004768372,"2 hours",3.20000004768372,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.5,"1 hour","male",2.90000009536743,NA
155,2.70000004768372,"2 hours",3.09999990463257,"2 hours",2.5,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"3 hours",2.90000009536743,"3 hours","male",2.90000009536743,"no"
156,2.59999990463257,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"2 hours",3,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"3 hours","male",3.90000009536743,"no"
157,3.29999995231628,"2 hours",3,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.40000009536743,"2 hours","female",2.09999990463257,NA
158,3,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"2 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"3 hours","female",2.59999990463257,"no"
159,3,"2 hours",3,"2 hours",3.09999990463257,"2 hours",3.40000009536743,"2 hours",3.79999995231628,"2 hours",4,"2 hours","female",3.09999990463257,NA
160,2.90000009536743,"2 hours",2.70000004768372,"2 hours",3.20000004768372,"2 hours",3.40000009536743,"2 hours",3.70000004768372,"2 hours",3.79999995231628,"2 hours","female",3.40000009536743,NA
161,2.59999990463257,"2 hours",2.5,"2 hours",2.70000004768372,"3 hours",2.79999995231628,"2 hours",2.79999995231628,"3 hours",3.09999990463257,"2 hours","male",3.09999990463257,"yes"
162,1.70000004768372,"2 hours",2.5,"2 hours",2.20000004768372,"2 hours",2.70000004768372,"2 hours",2.59999990463257,"3 hours",2.5,"2 hours","female",2.70000004768372,"no"
163,2.20000004768372,"3 hours",2.5,"3 hours",2.90000009536743,"2 hours",2.90000009536743,"2 hours",3.20000004768372,"1 hour",3.20000004768372,"2 hours","female",3,NA
164,2.5,"3 hours",2.40000009536743,"3 hours",2.59999990463257,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"2 hours",3.29999995231628,"2 hours","male",2.5,NA
165,2.79999995231628,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"3 hours",2.90000009536743,"2 hours",2.90000009536743,"2 hours",2.90000009536743,"2 hours","female",3.79999995231628,"no"
166,3,"2 hours",2.5,"2 hours",3.20000004768372,"2 hours",3.20000004768372,"2 hours",3.20000004768372,"2 hours",3.40000009536743,"2 hours","female",2.5,NA
167,2.70000004768372,"2 hours",2.90000009536743,"3 hours",3.09999990463257,"1 hour",2.79999995231628,"3 hours",3.59999990463257,"1 hour",3.5,"2 hours","male",2.79999995231628,"yes"
168,2.90000009536743,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.5,"2 hours","male",3.20000004768372,NA
169,2.90000009536743,"2 hours",2.70000004768372,"2 hours",3,"2 hours",3.20000004768372,"2 hours",3.59999990463257,"2 hours",3.59999990463257,"2 hours","male",3.90000009536743,NA
170,2.40000009536743,"2 hours",3.09999990463257,"2 hours",3.20000004768372,"1 hour",3.70000004768372,"2 hours",3.59999990463257,"2 hours",3.90000009536743,"2 hours","male",2,"yes"
171,2.29999995231628,"2 hours",2.40000009536743,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"3 hours",2.5,"2 hours",2.59999990463257,"3 hours","male",2.70000004768372,"no"
172,2.70000004768372,"2 hours",2.79999995231628,"3 hours",3,"2 hours",2.40000009536743,"2 hours",2.79999995231628,"2 hours",3.20000004768372,"2 hours","female",3.40000009536743,"yes"
173,2.20000004768372,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3.40000009536743,"2 hours",3.70000004768372,"2 hours",3.59999990463257,"2 hours","female",3.70000004768372,"yes"
174,2.79999995231628,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"3 hours",3.20000004768372,"2 hours",3,"1 hour",3.40000009536743,"2 hours","female",3.20000004768372,NA
175,2.29999995231628,"2 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours",2.79999995231628,"2 hours",3.40000009536743,"1 hour",3.29999995231628,"1 hour","male",3.70000004768372,NA
176,2.90000009536743,"2 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"2 hours",2.59999990463257,"2 hours",2.90000009536743,"3 hours","male",3.70000004768372,"no"
177,2.90000009536743,"2 hours",3,"2 hours",3.09999990463257,"1 hour",2.79999995231628,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"1 hour","male",3.90000009536743,NA
178,2.79999995231628,"2 hours",2.90000009536743,"2 hours",2.79999995231628,"2 hours",3,"2 hours",2.90000009536743,"2 hours",2.90000009536743,"2 hours","male",3.5,"yes"
179,2.70000004768372,"3 hours",3.40000009536743,"2 hours",2.5,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"3 hours",3.20000004768372,"2 hours","female",2.79999995231628,"yes"
180,2.90000009536743,"2 hours",2.5,"2 hours",2.5,"3 hours",2.5,"2 hours",2.59999990463257,"3 hours",2.59999990463257,"2 hours","male",2.29999995231628,"no"
181,2.29999995231628,"2 hours",2.40000009536743,"2 hours",2.20000004768372,"2 hours",2.59999990463257,"3 hours",2.59999990463257,"3 hours",2.70000004768372,"2 hours","male",3.20000004768372,"yes"
182,2.70000004768372,"2 hours",3.20000004768372,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"1 hour",3.29999995231628,"2 hours",3.29999995231628,"2 hours","female",3.70000004768372,"yes"
183,2.70000004768372,"2 hours",2.5,"3 hours",2.70000004768372,"2 hours",2.29999995231628,"2 hours",2.59999990463257,"2 hours",2.59999990463257,"2 hours","male",3,"no"
184,2.29999995231628,"3 hours",2.79999995231628,"2 hours",2.79999995231628,"2 hours",3,"2 hours",3.09999990463257,"1 hour",3.29999995231628,"2 hours","female",4,NA
185,2.59999990463257,"3 hours",3.09999990463257,"2 hours",3,"2 hours",3,"2 hours",3.20000004768372,"2 hours",2.90000009536743,"3 hours","female",3.70000004768372,"yes"
186,2.20000004768372,"2 hours",2.40000009536743,"3 hours",3,"2 hours",2.90000009536743,"2 hours",3.20000004768372,"2 hours",3.09999990463257,"2 hours","female",3.40000009536743,"yes"
187,2.40000009536743,"2 hours",2.20000004768372,"2 hours",2.09999990463257,"2 hours",2.40000009536743,"2 hours",2.79999995231628,"3 hours",2.79999995231628,"3 hours","female",2.20000004768372,"yes"
188,2.29999995231628,"2 hours",2.70000004768372,"2 hours",3.29999995231628,"2 hours",3.20000004768372,"2 hours",3.09999990463257,"2 hours",3.59999990463257,"2 hours","female",2.09999990463257,"yes"
189,3.29999995231628,"2 hours",3.29999995231628,"2 hours",2.79999995231628,"3 hours",3,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours","male",2.59999990463257,NA
190,1.70000004768372,"3 hours",2.29999995231628,"2 hours",2.70000004768372,"2 hours",2.5,"2 hours",2.59999990463257,"2 hours",2.79999995231628,"3 hours","male",3.90000009536743,"no"
191,2.40000009536743,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"2 hours",3,"2 hours",3.09999990463257,"2 hours",2.90000009536743,"3 hours","female",2,"yes"
192,2.90000009536743,"2 hours",3,"2 hours",2.40000009536743,"2 hours",2.90000009536743,"2 hours",2.79999995231628,"2 hours",2.90000009536743,"2 hours","female",2.90000009536743,"yes"
193,3.09999990463257,"2 hours",2.79999995231628,"3 hours",2.70000004768372,"2 hours",2.70000004768372,"3 hours",2.90000009536743,"2 hours",3.29999995231628,"2 hours","male",3,NA
194,2.40000009536743,"2 hours",2.40000009536743,"3 hours",2.59999990463257,"3 hours",3.09999990463257,"2 hours",3.40000009536743,"2 hours",3.29999995231628,"2 hours","male",2.20000004768372,"no"
195,2.40000009536743,"2 hours",2.70000004768372,"2 hours",2.20000004768372,"3 hours",2.20000004768372,"2 hours",2.40000009536743,"2 hours",2.5,"2 hours","male",2.5,"no"
196,2.20000004768372,"2 hours",2.5,"2 hours",2.70000004768372,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours",3.20000004768372,"2 hours","female",3.5,NA
197,2.90000009536743,"2 hours",2.5,"2 hours",2.79999995231628,"3 hours",3.20000004768372,"2 hours",3.29999995231628,"2 hours",3.79999995231628,"2 hours","female",2.09999990463257,NA
198,2.5,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.20000004768372,"2 hours",3.29999995231628,"1 hour",3.40000009536743,"2 hours","male",4,NA
199,2.59999990463257,"2 hours",2.29999995231628,"2 hours",2.70000004768372,"3 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"3 hours","female",2.29999995231628,"yes"
200,2.79999995231628,"2 hours",3.20000004768372,"2 hours",3.40000009536743,"2 hours",3.5,"2 hours",3.29999995231628,"1 hour",3.40000009536743,"1 hour","male",3.40000009536743,NA
